Warning: The created OpenGL context does not fully meet the settings that were requested
Requested: version = 1.1 ; depth bits = 0 ; stencil bits = 0 ; AA level = 0 ; core = false ; debug = false ; sRGB = false
Created: version = 0.0 ; depth bits = 0 ; stencil bits = 0 ; AA level = 0 ; core = false ; debug = false ; sRGB = false
Setting vertical sync failed
magnitude;type;tk
0.109357;0;0.0001
0.109357;0;0.0001
0.109357;0;0.0001
0.109357;1;0.0001
0.109357;1;0.0001
0.0753206;0;0.0001
0.0753206;0;0.0001
0.0753206;0;0.0001
0.0753206;1;0.0001
0.0753206;1;0.0001
0.0638806;0;0.0001
0.0638806;0;0.0001
0.0638806;0;0.0001
0.0638806;1;0.0001
0.0638806;1;0.0001
0.0188422;0;0.0001
0.0188422;0;0.0001
0.0188422;0;0.0001
0.0188422;1;0.0001
0.0188422;1;0.0001
0.0570752;0;0.0001
0.0570752;0;0.0001
0.0570752;0;0.0001
0.0570752;0;0.0001
0.0570752;1;0.0001
0.0570752;2;0.0001
0.0893297;0;0.0001
0.0893297;0;0.0001
0.0893297;0;0.0001
0.0893297;0;0.0001
0.0893297;1;0.0001
0.0893297;2;0.0001
0;1;0.0001
0;1;0.0001
sfml-graphics requires support for OpenGL 1.1 or greater
Ensure that hardware acceleration is enabled if available
OpenGL extension SGIS_texture_edge_clamp unavailable
Artifacts may occur along texture edges
Ensure that hardware acceleration is enabled if available
0.109357;0;0.0002
0.109357;0;0.0002
0.109357;0;0.0002
0.109357;1;0.0002
0.109357;1;0.0002
0.0753206;0;0.0002
0.0753206;0;0.0002
0.0753206;0;0.0002
0.0753206;1;0.0002
0.0753206;1;0.0002
0.0638806;0;0.0002
0.0638806;0;0.0002
0.0638806;0;0.0002
0.0638806;1;0.0002
0.0638806;1;0.0002
0.0188422;0;0.0002
0.0188422;0;0.0002
0.0188422;0;0.0002
0.0188422;1;0.0002
0.0188422;1;0.0002
0.0570752;0;0.0002
0.0570752;0;0.0002
0.0570752;0;0.0002
0.0570752;0;0.0002
0.0570752;1;0.0002
0.0570752;2;0.0002
0.0893297;0;0.0002
0.0893297;0;0.0002
0.0893297;0;0.0002
0.0893297;0;0.0002
0.0893297;1;0.0002
0.0893297;2;0.0002
0;1;0.0002
0;1;0.0002
0.108088;0;0.0003
0.108088;0;0.0003
0.108088;0;0.0003
0.108088;1;0.0003
